token,mean_sentiment_rating,standard deviation
abandon,-1.9,0.53852
abandoned,-2.0,1.09545
abandoner,-1.9,0.83066
abandoners,-1.9,0.83066
abandoning,-1.6,0.8
abandonment,-2.4,1.0198
abandonments,-1.7,0.45826
abducted,-2.3,1.18743
abduction,-2.8,0.87178
abductions,-2.0,1.41421
abhor,-2.0,1.09545
abhorred,-2.4,1.49666
abhorrent,-3.1,1.3
absolved,1.5,0.92195
absolving,1.6,0.8
abuse,-3.2,0.6
abused,-2.3,0.64031
abuser,-2.6,0.4899
abusers,-2.6,1.0198
abuses,-2.6,0.66332
abusing,-2.0,1.41421
abusive,-3.2,0.74833
abusively,-2.8,0.6
abusiveness,-2.5,0.92195
abusivenesses,-3.0,0.63246
accept,1.6,0.91652
acceptabilities,1.6,0.66332
acceptably,1.5,0.67082
acceptance,2.0,0.63246
acceptances,1.7,0.78102
acceptant,1.6,0.8
accepting,1.6,0.66332
accident,-2.1,0.83066
accomplish,1.8,0.6
accomplished,1.9,0.53852
accomplishes,1.7,0.9
ache,-1.6,1.2
ached,-1.6,0.8
aching,-2.2,0.74833
active,1.7,1.26886
admirability,2.4,0.4899
admirable,2.6,0.66332
admirableness,2.2,0.87178
admirably,2.5,0.67082
admirals,1.5,0.80623
admiralties,1.6,0.66332
admiration,2.5,0.80623
admirations,1.6,0.66332
admire,2.1,0.83066
admired,2.3,0.78102
admirer,1.8,0.74833
admirers,1.7,1.00499
admires,1.5,0.67082
admiring,1.6,0.8
admiringly,2.3,0.64031
admonished,-1.9,0.9434
adorability,2.2,0.74833
adorable,2.2,0.6
adorableness,2.5,0.67082
adorably,2.1,0.7
adoration,2.9,0.7
adorations,2.2,0.87178
adore,2.6,0.91652
adored,1.8,0.87178
adorer,1.7,1.1
adorers,2.1,0.7
adores,1.6,0.66332
adoring,2.6,0.66332
adoringly,2.4,0.8
advantageous,1.5,0.67082
advantageously,1.9,0.53852
advantageousness,1.6,1.28062
advantages,1.5,0.80623
advantaging,1.6,0.66332
adventuresome,1.7,1.1
adventuring,2.3,0.78102
adventurism,1.5,0.67082
adventuristic,1.7,0.64031
adventurousness,1.8,0.87178
adversarial,-1.5,0.92195
adverse,-1.5,0.80623
adversities,-1.5,0.67082
adversity,-1.8,0.6
affection,2.4,0.8
affectional,1.9,1.04403
affectionally,1.5,0.92195
affectionate,1.9,1.13578
affectionately,2.2,0.87178
affectioned,1.8,0.4
affectionless,-2.0,0.44721
affections,1.5,1.11803
afflicted,-1.5,1.0247
aggravate,-2.5,0.80623
aggravated,-1.9,1.04403
aggravates,-1.9,0.83066
aggressiveness,-1.8,0.74833
aghast,-1.9,1.04403
agitate,-1.7,0.64031
agitated,-2.0,0.63246
agitatedly,-1.6,0.8
agitating,-1.8,0.87178
agitators,-2.1,0.9434
agog,1.9,0.7
agonise,-2.1,0.9434
agonised,-2.3,0.64031
agonises,-2.4,0.91652
agonising,-1.5,1.43178
agonize,-2.3,0.9
agonized,-2.2,1.249
agonizes,-2.3,1.18743
agonizing,-2.7,0.78102
agonizingly,-2.3,1.48661
agony,-1.8,1.16619
agree,1.5,1.11803
agreeability,1.9,1.04403
agreeable,1.8,0.4
agreeableness,1.8,0.9798
agreeably,1.6,0.4899
agreement,2.2,0.74833
alarmingly,-2.6,0.91652
alive,1.6,0.8
amaze,2.5,1.0247
amazed,2.2,1.07703
amazedly,2.1,0.53852
amazement,2.5,0.80623
amazements,2.2,0.87178
amazes,2.2,0.9798
amazing,2.8,0.87178
ambitious,2.1,0.53852
amor,3.0,0.63246
amoral,-1.6,0.66332
amorality,-1.5,0.92195
amorist,1.6,1.0198
amoroso,2.3,0.78102
amorous,1.8,0.9798
amorously,2.3,0.78102
amorousness,2.0,0.89443
amort,-2.1,0.83066
amuse,1.7,0.78102
amused,1.8,0.6
amusedly,2.2,0.74833
amusement,1.5,1.11803
amusements,1.5,1.0247
amuses,1.7,0.64031
amusing,1.6,0.91652
amusingness,1.8,0.6
amusive,1.7,1.1
anger,-2.7,1.18743
angered,-2.3,0.78102
angering,-2.2,0.6
angerly,-1.9,0.53852
angers,-2.3,0.9
angrier,-2.3,0.64031
angriest,-3.1,0.83066
angrily,-1.8,0.4
angriness,-1.7,0.64031
anguish,-2.9,0.83066
anguished,-1.8,1.4
anguishes,-2.1,1.44568
anguishing,-2.7,0.9
annoy,-1.9,0.53852
annoyances,-1.8,0.6
annoyed,-1.6,1.11355
annoyer,-2.2,0.87178
annoyers,-1.5,1.0247
annoying,-1.7,0.64031
annoys,-1.8,0.6
antagonism,-1.9,1.04403
antagonist,-1.9,0.7
antagonistic,-1.7,0.9
antagonistically,-2.2,0.87178
antagonists,-1.7,0.64031
antagonize,-2.0,0.44721
antagonizing,-2.7,0.64031
aok,2.0,0.89443
apocalyptic,-3.4,0.66332
apologise,1.6,0.66332
apologizes,1.5,0.80623
appall,-2.4,0.66332
appalled,-2.0,0.63246
appalling,-1.5,1.5
appalls,-1.9,1.37477
applaud,2.0,0.63246
applauded,1.5,0.5
applauding,2.1,0.83066
applause,1.8,0.6
appreciate,1.7,0.78102
appreciated,2.3,0.78102
appreciates,2.3,0.9
appreciating,1.9,0.7
appreciation,2.3,0.9
